GEO_id,GEO_id2,GEO_display_label,HC03_EST_VC01
Id,Id2,Geography,Percent below poverty level; Estimate; Population for whom poverty status is determined
1400000US06059021918,6059021918,"Census Tract 219.18, Orange County, California",10.6
1400000US06059021919,6059021919,"Census Tract 219.19, Orange County, California",3
1400000US06059021920,6059021920,"Census Tract 219.20, Orange County, California",2.3
1400000US06059021921,6059021921,"Census Tract 219.21, Orange County, California",2.3
1400000US06059021922,6059021922,"Census Tract 219.22, Orange County, California",3.4
1400000US06059021923,6059021923,"Census Tract 219.23, Orange County, California",3.5
1400000US06059021924,6059021924,"Census Tract 219.24, Orange County, California",5.8
1400000US06059032002,6059032002,"Census Tract 320.02, Orange County, California",2.1
1400000US06059032003,6059032003,"Census Tract 320.03, Orange County, California",3
1400000US06059032011,6059032011,"Census Tract 320.11, Orange County, California",2.9
1400000US06059032012,6059032012,"Census Tract 320.12, Orange County, California",7.3
1400000US06059032013,6059032013,"Census Tract 320.13, Orange County, California",4.8
1400000US06059032014,6059032014,"Census Tract 320.14, Orange County, California",19.5
1400000US06059032015,6059032015,"Census Tract 320.15, Orange County, California",9.6
1400000US06059032020,6059032020,"Census Tract 320.20, Orange County, California",2
1400000US06059032022,6059032022,"Census Tract 320.22, Orange County, California",7.5
1400000US06059032023,6059032023,"Census Tract 320.23, Orange County, California",2.2
1400000US06059032027,6059032027,"Census Tract 320.27, Orange County, California",5.2
1400000US06059032028,6059032028,"Census Tract 320.28, Orange County, California",5.3
1400000US06059032029,6059032029,"Census Tract 320.29, Orange County, California",3.5
1400000US06059032030,6059032030,"Census Tract 320.30, Orange County, California",2.2
1400000US06059032031,6059032031,"Census Tract 320.31, Orange County, California",2.6
1400000US06059032032,6059032032,"Census Tract 320.32, Orange County, California",6.7
1400000US06059032033,6059032033,"Census Tract 320.33, Orange County, California",6.3
1400000US06059032034,6059032034,"Census Tract 320.34, Orange County, California",4.4
1400000US06059032035,6059032035,"Census Tract 320.35, Orange County, California",4
1400000US06059032036,6059032036,"Census Tract 320.36, Orange County, California",4.9
1400000US06059032037,6059032037,"Census Tract 320.37, Orange County, California",6.9
1400000US06059032038,6059032038,"Census Tract 320.38, Orange County, California",3.7
1400000US06059032039,6059032039,"Census Tract 320.39, Orange County, California",7.2
1400000US06059032040,6059032040,"Census Tract 320.40, Orange County, California",2.1
1400000US06059032041,6059032041,"Census Tract 320.41, Orange County, California",7.2
1400000US06059032042,6059032042,"Census Tract 320.42, Orange County, California",1.4
1400000US06059032043,6059032043,"Census Tract 320.43, Orange County, California",1.6
1400000US06059032044,6059032044,"Census Tract 320.44, Orange County, California",4.8
1400000US06059032045,6059032045,"Census Tract 320.45, Orange County, California",2.9
1400000US06059032046,6059032046,"Census Tract 320.46, Orange County, California",4.2
1400000US06059032047,6059032047,"Census Tract 320.47, Orange County, California",6.4
1400000US06059032048,6059032048,"Census Tract 320.48, Orange County, California",5
1400000US06059032049,6059032049,"Census Tract 320.49, Orange County, California",5.3
1400000US06059032050,6059032050,"Census Tract 320.50, Orange County, California",2.3
1400000US06059032051,6059032051,"Census Tract 320.51, Orange County, California",4.4
1400000US06059032053,6059032053,"Census Tract 320.53, Orange County, California",6.5
1400000US06059032054,6059032054,"Census Tract 320.54, Orange County, California",9.3
1400000US06059032055,6059032055,"Census Tract 320.55, Orange County, California",2.6
1400000US06059032056,6059032056,"Census Tract 320.56, Orange County, California",4.2
1400000US06059032057,6059032057,"Census Tract 320.57, Orange County, California",2.3
1400000US06059032058,6059032058,"Census Tract 320.58, Orange County, California",1.2
1400000US06059032059,6059032059,"Census Tract 320.59, Orange County, California",2.5
1400000US06059032061,6059032061,"Census Tract 320.61, Orange County, California",2.6
1400000US06059042103,6059042103,"Census Tract 421.03, Orange County, California",9
1400000US06059042106,6059042106,"Census Tract 421.06, Orange County, California",13.1
1400000US06059042107,6059042107,"Census Tract 421.07, Orange County, California",18
1400000US06059042108,6059042108,"Census Tract 421.08, Orange County, California",12.1
1400000US06059042109,6059042109,"Census Tract 421.09, Orange County, California",8.5
1400000US06059042111,6059042111,"Census Tract 421.11, Orange County, California",5.1
1400000US06059042112,6059042112,"Census Tract 421.12, Orange County, California",1
1400000US06059042113,6059042113,"Census Tract 421.13, Orange County, California",9.4
1400000US06059042114,6059042114,"Census Tract 421.14, Orange County, California",3.8
1400000US06059042201,6059042201,"Census Tract 422.01, Orange County, California",10.2
1400000US06059042203,6059042203,"Census Tract 422.03, Orange County, California",9.1
1400000US06059042205,6059042205,"Census Tract 422.05, Orange County, California",2.2
1400000US06059042206,6059042206,"Census Tract 422.06, Orange County, California",4.2
1400000US06059042305,6059042305,"Census Tract 423.05, Orange County, California",6.8
1400000US06059042307,6059042307,"Census Tract 423.07, Orange County, California",10
1400000US06059042310,6059042310,"Census Tract 423.10, Orange County, California",12.7
1400000US06059042311,6059042311,"Census Tract 423.11, Orange County, California",6.4
1400000US06059042312,6059042312,"Census Tract 423.12, Orange County, California",19.4
1400000US06059042313,6059042313,"Census Tract 423.13, Orange County, California",11.1
1400000US06059042315,6059042315,"Census Tract 423.15, Orange County, California",6.4
1400000US06059042317,6059042317,"Census Tract 423.17, Orange County, California",5.6
