ObjectID,datetime,PM2.5,AQI,latitude,longitude
307,12/19/19 12:30,4.975535714,21,34.117691,-117.746524
499,12/19/19 12:30,6.35,26,34.104089,-117.746679
691,12/19/19 12:30,5.04875,21,34.104334,-117.743445
883,12/19/19 12:30,5.891875,25,34.125368,-117.726098
1075,12/19/19 12:30,0.644375,3,34.142913,-117.672854
1267,12/19/19 12:30,4.474553571,19,34.106646,-117.72357
1390,12/19/19 12:30,2.577857143,11,34.089773,-117.697161
1560,12/19/19 12:30,6.666428571,28,34.114777,-117.747759
1752,12/19/19 12:30,3.053125,13,34.101792,-117.709791
1944,12/19/19 12:30,1.62125,7,34.136145,-117.659406
116,12/19/19 12:45,5.398125,22,34.072166,-117.749625
308,12/19/19 12:45,5.571875,23,34.117691,-117.746524
500,12/19/19 12:45,5.608333333,23,34.104089,-117.746679
692,12/19/19 12:45,5.158571429,21,34.104334,-117.743445
884,12/19/19 12:45,5.953571429,25,34.125368,-117.726098
1076,12/19/19 12:45,0.685,3,34.142913,-117.672854
1268,12/19/19 12:45,4.224642857,18,34.106646,-117.72357
1391,12/19/19 12:45,2.453125,10,34.089773,-117.697161
1561,12/19/19 12:45,7.974285714,33,34.114777,-117.747759
1753,12/19/19 12:45,2.911428571,12,34.101792,-117.709791
1945,12/19/19 12:45,1.614285714,7,34.136145,-117.659406
117,12/19/19 13:00,7.812857143,33,34.072166,-117.749625
309,12/19/19 13:00,6.323303571,26,34.117691,-117.746524
501,12/19/19 13:00,6.265,26,34.104089,-117.746679
693,12/19/19 13:00,5.33,22,34.104334,-117.743445
885,12/19/19 13:00,5.446875,23,34.125368,-117.726098
1077,12/19/19 13:00,0.5925,2,34.142913,-117.672854
1269,12/19/19 13:00,3.30625,14,34.106646,-117.72357
1392,12/19/19 13:00,2.125,9,34.089773,-117.697161
1562,12/19/19 13:00,7.604642857,32,34.114777,-117.747759
1754,12/19/19 13:00,2.272410714,9,34.101792,-117.709791
1946,12/19/19 13:00,1.325625,6,34.136145,-117.659406
118,12/19/19 13:15,8.83625,37,34.072166,-117.749625
310,12/19/19 13:15,8.585714286,36,34.117691,-117.746524
502,12/19/19 13:15,5.740625,24,34.104089,-117.746679
694,12/19/19 13:15,5.121428571,21,34.104334,-117.743445
886,12/19/19 13:15,3.860714286,16,34.125368,-117.726098
1078,12/19/19 13:15,0.530714286,2,34.142913,-117.672854
1270,12/19/19 13:15,2.928928571,12,34.106646,-117.72357
1393,12/19/19 13:15,2.245625,9,34.089773,-117.697161
1563,12/19/19 13:15,5.905,25,34.114777,-117.747759
1755,12/19/19 13:15,2.593482143,11,34.101792,-117.709791
1947,12/19/19 13:15,0.864285714,4,34.136145,-117.659406
119,12/19/19 13:30,12.25428571,51,34.072166,-117.749625
311,12/19/19 13:30,5.181875,22,34.117691,-117.746524
503,12/19/19 13:30,5.862857143,24,34.104089,-117.746679
695,12/19/19 13:30,5.29875,22,34.104334,-117.743445
887,12/19/19 13:30,3.52625,15,34.125368,-117.726098
1079,12/19/19 13:30,0.49625,2,34.142913,-117.672854
1271,12/19/19 13:30,3.311160714,14,34.106646,-117.72357
1394,12/19/19 13:30,2.39,10,34.089773,-117.697161
1564,12/19/19 13:30,6.09375,25,34.114777,-117.747759
1756,12/19/19 13:30,3.215625,13,34.101792,-117.709791
1948,12/19/19 13:30,0.90375,4,34.136145,-117.659406
