ObjectID,datetime,PM2.5,AQI,latitude,longitude
1290,12/19/19 18:15,10.13544643,42,34.106646,-117.72357
1583,12/19/19 18:15,11.40008929,48,34.114777,-117.747759
1775,12/19/19 18:15,10.681875,45,34.101792,-117.709791
1967,12/19/19 18:15,5.377142857,22,34.136145,-117.659406
139,12/19/19 18:30,15.18928571,57,34.072166,-117.749625
331,12/19/19 18:30,11.186875,47,34.117691,-117.746524
523,12/19/19 18:30,15.805,59,34.104089,-117.746679
715,12/19/19 18:30,16.526875,60,34.104334,-117.743445
907,12/19/19 18:30,10.380625,43,34.125368,-117.726098
1099,12/19/19 18:30,3.04125,13,34.142913,-117.672854
1291,12/19/19 18:30,14.14794643,55,34.106646,-117.72357
1584,12/19/19 18:30,12.64303571,52,34.114777,-117.747759
1776,12/19/19 18:30,13.80642857,55,34.101792,-117.709791
1968,12/19/19 18:30,6.33125,26,34.136145,-117.659406
140,12/19/19 18:45,15.04625,57,34.072166,-117.749625
332,12/19/19 18:45,11.11705357,46,34.117691,-117.746524
524,12/19/19 18:45,15.001875,57,34.104089,-117.746679
716,12/19/19 18:45,15.775,59,34.104334,-117.743445
908,12/19/19 18:45,10.89642857,45,34.125368,-117.726098
1100,12/19/19 18:45,3.272857143,14,34.142913,-117.672854
1292,12/19/19 18:45,13.15669643,53,34.106646,-117.72357
1585,12/19/19 18:45,13.03741071,53,34.114777,-117.747759
1777,12/19/19 18:45,14.315625,56,34.101792,-117.709791
1969,12/19/19 18:45,7.035,29,34.136145,-117.659406
141,12/19/19 19:00,12.99142857,53,34.072166,-117.749625
333,12/19/19 19:00,10.68017857,45,34.117691,-117.746524
525,12/19/19 19:00,13.625,54,34.104089,-117.746679
717,12/19/19 19:00,13.81125,55,34.104334,-117.743445
909,12/19/19 19:00,10.64625,44,34.125368,-117.726098
1101,12/19/19 19:00,3.578125,15,34.142913,-117.672854
1293,12/19/19 19:00,13.08223214,53,34.106646,-117.72357
1586,12/19/19 19:00,12.52571429,52,34.114777,-117.747759
1778,12/19/19 19:00,15.13642857,57,34.101792,-117.709791
1970,12/19/19 19:00,9.17125,38,34.136145,-117.659406
