object_id,name,street,city,state,zip,latitude,longitude
1,Brea Community Services Department,695 Madison Way,Brea,CA,92821,33.916498,-117.890829
2,Active Christians Today,585 S Walnut Ave,Brea,CA,92821,33.911132,-117.90587
3,Brea Ministerial Association,3000 E Birth St,Brea,CA,92821,33.917488,-117.857508
