"","datetime","Claremont_01","AQI"
"112",2019-12-06 23:00:00,2.80766666666667,12
"113",2019-12-07 00:00:00,2.271,9
"114",2019-12-07 01:00:00,4.34316666666667,18
"115",2019-12-07 02:00:00,11.5515,48
"116",2019-12-07 03:00:00,14.6308333333333,56
"117",2019-12-07 04:00:00,2.3055,10
"118",2019-12-07 05:00:00,11.746,49
"119",2019-12-07 06:00:00,9.018,38
"120",2019-12-07 07:00:00,6.93083333333333,29
"121",2019-12-07 08:00:00,6.8745,29
"122",2019-12-07 09:00:00,13.1995,53
"123",2019-12-07 10:00:00,13.738,54
"124",2019-12-07 11:00:00,1.35683333333333,6
"125",2019-12-07 12:00:00,1.425,6
"126",2019-12-07 13:00:00,1.51433333333333,6
"127",2019-12-07 14:00:00,1.54133333333333,6
"128",2019-12-07 15:00:00,2.12866666666667,9
"129",2019-12-07 16:00:00,3.42283333333333,14
"130",2019-12-07 17:00:00,3.86933333333333,16
"131",2019-12-07 18:00:00,2.765,12
"132",2019-12-07 19:00:00,11.6838333333333,49
"133",2019-12-07 20:00:00,2.7765,12
"134",2019-12-07 21:00:00,3.63583333333333,15
"135",2019-12-07 22:00:00,1.12516666666667,5
"136",2019-12-07 23:00:00,2.27766666666667,9
"137",2019-12-08 00:00:00,7.3725,31
"138",2019-12-08 01:00:00,20.232,68
"139",2019-12-08 02:00:00,22.1053333333333,72
"140",2019-12-08 03:00:00,27.9415,84
"141",2019-12-08 04:00:00,22.2843333333333,72
"142",2019-12-08 05:00:00,9.89116666666667,41
"143",2019-12-08 06:00:00,8.79483333333333,37
"144",2019-12-08 07:00:00,9.702,40
