"","datetime","Roberts Environmental Center","AQI"
"111",2019-12-06 22:00:00,3.2845,14
"112",2019-12-06 23:00:00,6.55358620689655,27
"113",2019-12-07 00:00:00,2.70716666666667,11
"114",2019-12-07 01:00:00,11.9605483870968,50
"115",2019-12-07 02:00:00,19.6700459770115,67
"116",2019-12-07 03:00:00,19.7958275862069,67
"117",2019-12-07 04:00:00,5.25716666666667,22
"118",2019-12-07 05:00:00,14.3221666666667,56
"119",2019-12-07 06:00:00,15.2131666666667,58
"120",2019-12-07 07:00:00,16.7315,61
"121",2019-12-07 08:00:00,20.5751666666667,69
"122",2019-12-07 09:00:00,22.8615,74
"123",2019-12-07 10:00:00,20.2591666666667,68
"124",2019-12-07 11:00:00,2.765,12
"125",2019-12-07 12:00:00,2.51166666666667,10
"126",2019-12-07 13:00:00,2.30866666666667,10
"127",2019-12-07 14:00:00,1.92033333333333,8
"128",2019-12-07 15:00:00,2.0005,8
"129",2019-12-07 16:00:00,4.727,20
"130",2019-12-07 17:00:00,4.80516666666667,20
"131",2019-12-07 18:00:00,6.49116666666667,27
"132",2019-12-07 19:00:00,15.191,58
"133",2019-12-07 20:00:00,6.15833333333333,26
"134",2019-12-07 21:00:00,9.072,38
"135",2019-12-07 22:00:00,1.90283333333333,8
"136",2019-12-07 23:00:00,5.72416666666667,24
"137",2019-12-08 00:00:00,15.9043333333333,59
"138",2019-12-08 01:00:00,14.9773333333333,57
"139",2019-12-08 02:00:00,17.9444942528736,63
"140",2019-12-08 03:00:00,19.7256666666667,67
"141",2019-12-08 04:00:00,17.3301666666667,62
"142",2019-12-08 05:00:00,12.0473333333333,50
"143",2019-12-08 06:00:00,8.6715,36
"144",2019-12-08 07:00:00,11.8481666666667,49
