"","datetime","NW of Claremont Village","AQI"
"130",2019-12-07 17:00:00,0.549166666666667,2
"131",2019-12-07 18:00:00,1.069,4
"132",2019-12-07 19:00:00,2.15216666666667,9
"133",2019-12-07 20:00:00,2.4325,10
"134",2019-12-07 21:00:00,2.61633333333333,11
"135",2019-12-07 22:00:00,1.52316666666667,6
"136",2019-12-07 23:00:00,1.02766666666667,4
"137",2019-12-08 00:00:00,0.785,3
"138",2019-12-08 01:00:00,0.914833333333333,4
"139",2019-12-08 02:00:00,1.25,5
"140",2019-12-08 03:00:00,1.65416666666667,7
"141",2019-12-08 04:00:00,2.0085,8
"142",2019-12-08 05:00:00,1.56583333333333,7
"143",2019-12-08 06:00:00,1.20333333333333,5
"144",2019-12-08 07:00:00,0.992333333333333,4
