"","datetime","Piedmond Mesa Claremont","AQI"
"113",2019-12-07 00:00:00,2.84383333333333,12
"114",2019-12-07 01:00:00,10.168,42
"115",2019-12-07 02:00:00,18.6218333333333,65
"116",2019-12-07 03:00:00,24.8913333333333,78
"117",2019-12-07 04:00:00,6.1835,26
"118",2019-12-07 05:00:00,11.0626666666667,46
"119",2019-12-07 06:00:00,16.21,60
"120",2019-12-07 07:00:00,11.5976666666667,48
"121",2019-12-07 08:00:00,13.4291666666667,54
"122",2019-12-07 09:00:00,20.574,69
"123",2019-12-07 10:00:00,18.352,64
"124",2019-12-07 11:00:00,3.0475,13
"125",2019-12-07 12:00:00,2.052,9
"126",2019-12-07 13:00:00,2.0075,8
"127",2019-12-07 14:00:00,1.75183333333333,7
"128",2019-12-07 15:00:00,4.18766666666667,17
"129",2019-12-07 16:00:00,14.7443333333333,57
"130",2019-12-07 17:00:00,6.48783333333333,27
"131",2019-12-07 18:00:00,7.78883333333333,32
"132",2019-12-07 19:00:00,14.425,56
"133",2019-12-07 20:00:00,4.7975,20
"134",2019-12-07 21:00:00,5.8895,25
"135",2019-12-07 22:00:00,2.09483333333333,9
"136",2019-12-07 23:00:00,2.91866666666667,12
"137",2019-12-08 00:00:00,6.311,26
"138",2019-12-08 01:00:00,13.9815,55
"139",2019-12-08 02:00:00,17.3673333333333,62
"140",2019-12-08 03:00:00,22.6201666666667,73
"141",2019-12-08 04:00:00,18.085,64
"142",2019-12-08 05:00:00,13.3291666666667,54
"143",2019-12-08 06:00:00,10.8811666666667,45
"144",2019-12-08 07:00:00,13.3775,54
