"","datetime","AirHead","AQI"
"111",2019-12-06 22:00:00,4.45033333333333,19
"112",2019-12-06 23:00:00,10.0055,42
"113",2019-12-07 00:00:00,6.41783333333333,27
"114",2019-12-07 01:00:00,15.6286666666667,58
"115",2019-12-07 02:00:00,17.8318333333333,63
"116",2019-12-07 03:00:00,16.2026666666667,60
"117",2019-12-07 04:00:00,14.51,56
"118",2019-12-07 05:00:00,21.3661666666667,70
"119",2019-12-07 06:00:00,24.14,76
"120",2019-12-07 07:00:00,25.2811666666667,79
"121",2019-12-07 08:00:00,26.5966666666667,81
"122",2019-12-07 09:00:00,22.693,73
"123",2019-12-07 10:00:00,18.8403333333333,65
"124",2019-12-07 11:00:00,6.519,27
"125",2019-12-07 12:00:00,7.49166666666667,31
"126",2019-12-07 13:00:00,16.53,60
"127",2019-12-07 14:00:00,13.2768333333333,53
"128",2019-12-07 15:00:00,4.56516666666667,19
"129",2019-12-07 16:00:00,14.7336666666667,57
"130",2019-12-07 17:00:00,8.29716666666667,35
"131",2019-12-07 18:00:00,13.1133333333333,53
"132",2019-12-07 19:00:00,24.5846666666667,77
"133",2019-12-07 20:00:00,10.336,43
"134",2019-12-07 21:00:00,5.36016666666667,22
"135",2019-12-07 22:00:00,3.49,15
"136",2019-12-07 23:00:00,2.86966666666667,12
"137",2019-12-08 00:00:00,7.83033333333333,33
"138",2019-12-08 01:00:00,13.4405,54
"139",2019-12-08 02:00:00,18.776,65
"140",2019-12-08 03:00:00,15.984,59
"141",2019-12-08 04:00:00,14.6910344827586,56
"142",2019-12-08 05:00:00,12.8895,53
"143",2019-12-08 06:00:00,12.274,51
"144",2019-12-08 07:00:00,13.4981666666667,54
