"","datetime","Upland-North-McCarthy","AQI"
"112",2019-12-06 23:00:00,4.805,20
"113",2019-12-07 00:00:00,1.038,4
"114",2019-12-07 01:00:00,2.65116666666667,11
"115",2019-12-07 02:00:00,3.58133333333333,15
"116",2019-12-07 03:00:00,16.477,60
"117",2019-12-07 04:00:00,3.6935,15
"118",2019-12-07 05:00:00,3.3375,14
"119",2019-12-07 06:00:00,2.737,11
"120",2019-12-07 07:00:00,1.59966666666667,7
"121",2019-12-07 08:00:00,2.44066666666667,10
"122",2019-12-07 09:00:00,2.634,11
"123",2019-12-07 10:00:00,3.61633333333333,15
"124",2019-12-07 11:00:00,1.137,5
"125",2019-12-07 12:00:00,1.53816666666667,6
"126",2019-12-07 13:00:00,0.942333333333333,4
"127",2019-12-07 14:00:00,0.809166666666667,3
"128",2019-12-07 15:00:00,1.2,5
"129",2019-12-07 16:00:00,3.91583333333333,16
"130",2019-12-07 17:00:00,4.23116666666667,18
"131",2019-12-07 18:00:00,0.604333333333333,3
"132",2019-12-07 19:00:00,7.65083333333333,32
"133",2019-12-07 20:00:00,2.80166666666667,12
"134",2019-12-07 21:00:00,2.24183333333333,9
"135",2019-12-07 22:00:00,0.612166666666667,3
"136",2019-12-07 23:00:00,3.63466666666667,15
"137",2019-12-08 00:00:00,12.0348333333333,50
"138",2019-12-08 01:00:00,11.6401666666667,49
"139",2019-12-08 02:00:00,16.322,60
"140",2019-12-08 03:00:00,24.5986666666667,77
"141",2019-12-08 04:00:00,20.1246666666667,68
"142",2019-12-08 05:00:00,5.48633333333333,23
"143",2019-12-08 06:00:00,3.354,14
"144",2019-12-08 07:00:00,1.93066666666667,8
