"","datetime","AQMD_NASA_261","AQI"
"1",2019-12-02 08:00:00,5.96266666666667,25
"2",2019-12-02 09:00:00,5.70833333333333,24
"3",2019-12-02 10:00:00,3.578,15
"4",2019-12-02 11:00:00,2.31916666666667,10
"5",2019-12-02 12:00:00,1.954,8
"6",2019-12-02 13:00:00,1.95233333333333,8
"7",2019-12-02 14:00:00,1.2015,5
"8",2019-12-02 15:00:00,2.038,8
"9",2019-12-02 16:00:00,4.2735,18
"10",2019-12-02 17:00:00,4.9735,21
"11",2019-12-02 18:00:00,5.60166666666667,23
"12",2019-12-02 19:00:00,10.0151666666667,42
"13",2019-12-02 20:00:00,9.4485,39
"14",2019-12-02 21:00:00,6.82416666666667,28
"15",2019-12-02 22:00:00,6.22083333333333,26
"16",2019-12-02 23:00:00,8.4885,35
"17",2019-12-03 00:00:00,12.8271666666667,53
"18",2019-12-03 01:00:00,15.779,59
"19",2019-12-03 02:00:00,14.9238333333333,57
"20",2019-12-03 03:00:00,9.7015,40
"21",2019-12-03 04:00:00,11.0486666666667,46
"22",2019-12-03 05:00:00,9.12533333333333,38
"23",2019-12-03 06:00:00,3.90483333333333,16
"24",2019-12-03 07:00:00,2.98766666666667,12
"25",2019-12-03 08:00:00,3.48,15
"26",2019-12-03 09:00:00,6.3035,26
"27",2019-12-03 10:00:00,7.55516666666667,31
"28",2019-12-03 11:00:00,10.8601666666667,45
"29",2019-12-03 12:00:00,12.6416666666667,52
"30",2019-12-03 13:00:00,10.4408333333333,44
"31",2019-12-03 14:00:00,8.30266666666667,35
"32",2019-12-03 15:00:00,9.40383333333333,39
"33",2019-12-03 16:00:00,12.9,53
"34",2019-12-03 17:00:00,9.22666666666667,38
"35",2019-12-03 18:00:00,13.1946666666667,53
"36",2019-12-03 19:00:00,17.9668333333333,63
"37",2019-12-03 20:00:00,16.2651666666667,60
"38",2019-12-03 21:00:00,24.2795,77
"39",2019-12-03 22:00:00,26.8976666666667,82
"40",2019-12-03 23:00:00,29.3403333333333,87
"41",2019-12-04 00:00:00,34.0273333333333,97
"42",2019-12-04 01:00:00,14.2915,56
"43",2019-12-04 02:00:00,13.3626666666667,54
"44",2019-12-04 03:00:00,22.373,73
"45",2019-12-04 04:00:00,16.0558333333333,59
"46",2019-12-04 05:00:00,15.0455,57
"47",2019-12-04 06:00:00,11.7845,49
"48",2019-12-04 07:00:00,9.88566666666667,41
"49",2019-12-04 08:00:00,12.0061666666667,50
"50",2019-12-04 09:00:00,8.176,34
"51",2019-12-04 10:00:00,3.199,13
"52",2019-12-04 11:00:00,9.30133333333333,39
"53",2019-12-04 12:00:00,7.71316666666667,32
"54",2019-12-04 13:00:00,9.28066666666667,39
