"","datetime","North Upland","AQI"
"112",2019-12-06 23:00:00,2.13966666666667,9
"113",2019-12-07 00:00:00,1.93216666666667,8
"114",2019-12-07 01:00:00,1.1025,5
"115",2019-12-07 02:00:00,0.828,3
"116",2019-12-07 03:00:00,1.68166666666667,7
"117",2019-12-07 04:00:00,2.01033333333333,8
"118",2019-12-07 05:00:00,1.09883333333333,5
"119",2019-12-07 06:00:00,0.453333333333333,2
"120",2019-12-07 07:00:00,0.711833333333333,3
"121",2019-12-07 08:00:00,0.683833333333333,3
"122",2019-12-07 09:00:00,0.955166666666667,4
"123",2019-12-07 10:00:00,1.75016666666667,7
"124",2019-12-07 11:00:00,1.326,6
"125",2019-12-07 12:00:00,1.13933333333333,5
"126",2019-12-07 13:00:00,0.958666666666667,4
"127",2019-12-07 14:00:00,0.742,3
"128",2019-12-07 15:00:00,0.398833333333333,2
"129",2019-12-07 16:00:00,0.5955,2
"130",2019-12-07 17:00:00,1.61366666666667,7
"131",2019-12-07 18:00:00,0.3855,2
"132",2019-12-07 19:00:00,5.55616666666667,23
"133",2019-12-07 20:00:00,1.39966666666667,6
"134",2019-12-07 21:00:00,1.56066666666667,7
"135",2019-12-07 22:00:00,0.3335,1
"136",2019-12-07 23:00:00,1.28233333333333,5
"137",2019-12-08 00:00:00,11.3165,47
"138",2019-12-08 01:00:00,11.9988333333333,50
"139",2019-12-08 02:00:00,11.5961666666667,48
"140",2019-12-08 03:00:00,11.9371666666667,50
"141",2019-12-08 04:00:00,14.1191666666667,55
"142",2019-12-08 05:00:00,11.0383333333333,46
"143",2019-12-08 06:00:00,7.08283333333333,30
"144",2019-12-08 07:00:00,4.40383333333333,18
