"","datetime","AQMD_NASA_48","AQI"
"113",2019-12-07 00:00:00,3.68483333333333,15
"114",2019-12-07 01:00:00,13.5991666666667,54
"115",2019-12-07 02:00:00,21.5445,71
"116",2019-12-07 03:00:00,23.711,75
"117",2019-12-07 04:00:00,9.79816666666667,41
"118",2019-12-07 05:00:00,17.2263333333333,62
"119",2019-12-07 06:00:00,23.2081666666667,74
"120",2019-12-07 07:00:00,20.2578333333333,68
"121",2019-12-07 08:00:00,20.6071666666667,69
"122",2019-12-07 09:00:00,23.829,76
"123",2019-12-07 10:00:00,20.0066666666667,68
"124",2019-12-07 11:00:00,3.69433333333333,15
"125",2019-12-07 12:00:00,2.23083333333333,9
"126",2019-12-07 13:00:00,2.73983333333333,11
"127",2019-12-07 14:00:00,2.4565,10
"128",2019-12-07 15:00:00,3.97633333333333,17
"129",2019-12-07 16:00:00,9.0255,38
"130",2019-12-07 17:00:00,4.761,20
"131",2019-12-07 18:00:00,6.0505,25
"132",2019-12-07 19:00:00,19.1278333333333,66
"133",2019-12-07 20:00:00,5.12733333333333,21
"134",2019-12-07 21:00:00,5.906,25
"135",2019-12-07 22:00:00,2.5795,11
"136",2019-12-07 23:00:00,2.85683333333333,12
"137",2019-12-08 00:00:00,7.9085,33
"138",2019-12-08 01:00:00,19.1585,66
"139",2019-12-08 02:00:00,20.1401666666667,68
"140",2019-12-08 03:00:00,19.1983333333333,66
"141",2019-12-08 04:00:00,17.8923333333333,63
"142",2019-12-08 05:00:00,15.232,58
"143",2019-12-08 06:00:00,13.2756666666667,53
"144",2019-12-08 07:00:00,13.2376666666667,53
